2022-02-22 10:06:40,566 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:39)     - 월(0~11)월 : 2
2022-02-22 10:07:43,440 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이해의 년도 : 2022
2022-02-22 10:07:43,444 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11)월 : 2
2022-02-22 10:08:08,469 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이해의 년도 : 2022
2022-02-22 10:08:08,471 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11)월 : 2
2022-02-22 10:08:08,471 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일 : 22
2022-02-22 10:09:19,290 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이해의 년도 : 2022
2022-02-22 10:09:19,296 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11)월 : 2
2022-02-22 10:09:19,297 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일 : 22
2022-02-22 10:09:19,297 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 2022년 2월 22일
2022-02-22 10:12:32,969 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이해의 년도 : 2022
2022-02-22 10:12:32,970 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11)월 : 2
2022-02-22 10:12:32,971 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일 : 22
2022-02-22 10:12:32,971 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 2022년 2월 22일
2022-02-22 10:12:32,971 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:48)     - 1(일요일)~7(토요일) : 3
2022-02-22 10:14:32,203 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이해의 년도 : 2022
2022-02-22 10:14:32,207 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11)월 : 2
2022-02-22 10:14:32,207 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일 : 22
2022-02-22 10:14:32,208 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 2022년 2월 22일
2022-02-22 10:14:32,208 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:48)     - 1(일요일)~7(토요일) : 3
2022-02-22 10:14:32,208 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:51)     - 0
2022-02-22 10:17:24,247 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이해의 년도 : 2022
2022-02-22 10:17:24,248 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11)월 : 2
2022-02-22 10:17:24,248 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일 : 22
2022-02-22 10:17:24,249 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 2022년 2월 22일
2022-02-22 10:17:24,249 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:48)     - 1(일요일)~7(토요일) : 3
2022-02-22 10:17:24,249 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:51)     - 오전(0), 오후(1)0
2022-02-22 10:17:24,249 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:54)     - 시간 0~11 : 10
2022-02-22 10:18:30,864 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이해의 년도 : 2022
2022-02-22 10:18:30,866 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11)월 : 2
2022-02-22 10:18:30,866 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일 : 22
2022-02-22 10:18:30,866 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 2022년 2월 22일
2022-02-22 10:18:30,866 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:48)     - 1(일요일)~7(토요일) : 3
2022-02-22 10:18:30,866 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:51)     - 오전(0), 오후(1)0
2022-02-22 10:18:30,866 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:54)     - 시간 0~11 : 10
2022-02-22 10:18:30,867 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:57)     - 시간 0~23 : 10
2022-02-22 10:19:31,633 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이해의 년도 : 2022
2022-02-22 10:19:31,634 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11)월 : 2
2022-02-22 10:19:31,635 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일 : 22
2022-02-22 10:19:31,635 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:44)     - 2022년 2월 22일
2022-02-22 10:19:31,635 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:48)     - 1(일요일)~7(토요일) : 3
2022-02-22 10:19:31,635 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:51)     - 오전(0), 오후(1)0
2022-02-22 10:19:31,635 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:54)     - 시간 0~11 : 10
2022-02-22 10:19:31,635 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:57)     - 시간 0~23 : 10
2022-02-22 10:19:31,636 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:60)     - 분 0~59 : 19
2022-02-22 10:21:08,168 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:40)     - 이해의 년도 : 2022
2022-02-22 10:21:08,170 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:41)     - 월(0~11)월 : 2
2022-02-22 10:21:08,170 DEBUG [main] cmn.LoggerManager (CalendarEx02Main.java:42)     - 일 : 22
